Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD56,Ahmedabad,Gujarat University,3rd,Cybersecurity,Instagram
LD57,Ahmedabad,Nirma University,2nd,Biotechnology,Google Form
LD58,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Environmental Science,Instagram
LD59,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Data Science,LinkedIn
LD60,Delhi,Lady Shri Ram College for Women,3rd,Data Science,College Collaboration
LD61,Bengaluru,Christ University,3rd,Environmental Science,Mass-Mailing
LD62,Pune,Symbiosis International University,1st,Robotics,LinkedIn
LD63,Bengaluru,Indian Institute of Science (IISc),3rd,Cybersecurity,LinkedIn
LD64,Mumbai,K. J. Somaiya College of Engineering,3rd,Data Science,College Collaboration
LD65,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,LinkedIn
LD66,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Biotechnology,College Collaboration
LD67,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,LinkedIn
LD68,Delhi,Lady Shri Ram College for Women,4th,Environmental Science,Instagram
LD69,Hyderabad,University of Hyderabad,3rd,Data Science,Google Form
LD70,Ahmedabad,Gujarat University,1st,Cybersecurity,Google Form
LD71,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Robotics,Instagram
LD72,Jaipur,Rajasthan Technical University,3rd,Electric Vehicles,Google Form
LD73,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Environmental Science,LinkedIn
LD74,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Business Administration,Instagram
LD75,Bengaluru,Christ University,2nd,Artificial Intelligence,LinkedIn
LD76,Ahmedabad,Gujarat University,2nd,Robotics,Mass-Mailing
LD77,Pune,MIT World Peace University,4th,Environmental Science,College Collaboration
LD78,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Data Science,LinkedIn
LD79,Kolkata,Presidency University,2nd,Environmental Science,College Collaboration
LD80,Kolkata,Jadavpur University,4th,Data Science,LinkedIn
LD81,Delhi,Jawaharlal Nehru University (JNU),4th,Cybersecurity,Google Form
LD82,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Business Administration,Google Form
LD83,Kolkata,Presidency University,2nd,Cybersecurity,LinkedIn
LD84,Delhi,Jawaharlal Nehru University (JNU),2nd,Data Science,LinkedIn
LD85,Chennai,Anna University,4th,Data Science,Instagram
LD86,Pune,Bharati Vidyapeeth Deemed University,2nd,Cybersecurity,LinkedIn
LD87,Delhi,Guru Gobind Singh Indraprastha University,3rd,Environmental Science,Google Form
LD88,Pune,Bharati Vidyapeeth Deemed University,3rd,Electric Vehicles,Whatsapp
LD89,Ahmedabad,Nirma University,2nd,Artificial Intelligence,Mass-Mailing
LD90,Bengaluru,Indian Institute of Science (IISc),3rd,Artificial Intelligence,Google Form
LD91,Bengaluru,RV College of Engineering,3rd,Environmental Science,College Collaboration
LD92,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Business Administration,LinkedIn
LD93,Ahmedabad,Nirma University,2nd,Business Administration,Google Form
LD94,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Cybersecurity,Mass-Mailing
LD95,Mumbai,Sardar Patel Institute of Technology,4th,Cybersecurity,LinkedIn
LD96,Delhi,University of Delhi,3rd,Data Science,College Collaboration
LD97,Hyderabad,Indian School of Business (ISB),4th,Cybersecurity,Google Form
LD98,Delhi,Guru Gobind Singh Indraprastha University,2nd,Environmental Science,College Collaboration
LD99,Indore,Devi Ahilya Vishwavidyalaya,3rd,Environmental Science,Instagram
LD100,Hyderabad,Osmania University,2nd,Biotechnology,LinkedIn
LD101,Pune,University of Pune (Savitribai Phule Pune University),4th,Biotechnology,LinkedIn
LD102,Kolkata,Presidency University,2nd,Biotechnology,Google Form
LD103,Jaipur,Rajasthan Technical University,1st,Cybersecurity,LinkedIn
LD104,Chennai,Anna University,2nd,Electric Vehicles,Instagram
LD105,Chennai,Madras Christian College,3rd,Business Administration,College Collaboration
LD106,Mumbai,Sardar Patel Institute of Technology,2nd,Environmental Science,Mass-Mailing
LD107,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD108,Mumbai,St. Xavier's College,4th,Environmental Science,Google Form
LD109,Pune,Symbiosis International University,4th,Cybersecurity,College Collaboration
LD110,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Business Administration,LinkedIn
LD111,Indore,Indian Institute of Management Indore (IIM-I),3rd,Cybersecurity,Instagram
LD112,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Robotics,LinkedIn
LD113,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,Whatsapp
LD114,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Data Science,College Collaboration
LD115,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Environmental Science,Whatsapp
LD116,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Business Administration,College Collaboration
LD117,Bengaluru,Bangalore Institute of Technology,3rd,Electric Vehicles,Google Form
LD118,Bengaluru,Bangalore Institute of Technology,3rd,Cybersecurity,LinkedIn
LD119,Hyderabad,Osmania University,4th,Business Administration,College Collaboration
LD120,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Artificial Intelligence,Mass-Mailing
LD121,Bengaluru,Indian Institute of Science (IISc),1st,Artificial Intelligence,Mass-Mailing
LD122,Delhi,Guru Gobind Singh Indraprastha University,4th,Artificial Intelligence,Whatsapp
LD123,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,Google Form
LD124,Delhi,Delhi Technological University (DTU),2nd,Business Administration,Whatsapp
LD125,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Environmental Science,Mass-Mailing
LD126,Pune,Bharati Vidyapeeth Deemed University,3rd,Artificial Intelligence,College Collaboration
LD127,Pune,University of Pune (Savitribai Phule Pune University),3rd,Environmental Science,College Collaboration
LD128,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Cybersecurity,College Collaboration
LD129,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,LinkedIn
LD130,Pune,University of Pune (Savitribai Phule Pune University),4th,Robotics,Mass-Mailing
LD131,Kolkata,Jadavpur University,2nd,Business Administration,Google Form
LD132,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Electric Vehicles,Google Form
LD133,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Robotics,College Collaboration
LD134,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Artificial Intelligence,College Collaboration
LD135,Pune,University of Pune (Savitribai Phule Pune University),1st,Biotechnology,Instagram
LD136,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD137,Bengaluru,Christ University,3rd,Environmental Science,College Collaboration
LD138,Hyderabad,Indian School of Business (ISB),3rd,Cybersecurity,Google Form
LD139,Bengaluru,PES University,3rd,Cybersecurity,Mass-Mailing
LD140,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Biotechnology,LinkedIn
LD141,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD142,Hyderabad,Indian School of Business (ISB),2nd,Cybersecurity,Google Form
LD143,Bengaluru,Bangalore Institute of Technology,2nd,Environmental Science,LinkedIn
LD144,Indore,Devi Ahilya Vishwavidyalaya,2nd,Robotics,LinkedIn
LD145,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Electric Vehicles,LinkedIn
LD146,Delhi,Guru Gobind Singh Indraprastha University,3rd,Electric Vehicles,LinkedIn
LD147,Chennai,Anna University,2nd,Electric Vehicles,Mass-Mailing
LD148,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Electric Vehicles,College Collaboration
LD149,Indore,Indian Institute of Management Indore (IIM-I),3rd,Cybersecurity,College Collaboration
LD150,Chennai,Loyola College,3rd,Artificial Intelligence,Mass-Mailing
LD151,Mumbai,Sardar Patel Institute of Technology,3rd,Robotics,Mass-Mailing
LD152,Bengaluru,Bangalore Institute of Technology,4th,Robotics,Instagram
LD153,Bengaluru,Christ University,2nd,Environmental Science,Mass-Mailing
LD154,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,LinkedIn
LD155,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,Instagram
LD156,Indore,Devi Ahilya Vishwavidyalaya,4th,Environmental Science,Google Form
LD157,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Business Administration,LinkedIn
LD158,Chennai,Anna University,4th,Data Science,Google Form
LD159,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Artificial Intelligence,Whatsapp
LD160,Delhi,Jawaharlal Nehru University (JNU),1st,Cybersecurity,LinkedIn
LD161,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Electric Vehicles,College Collaboration
LD162,Ahmedabad,Gujarat University,2nd,Data Science,Instagram
LD163,Delhi,Guru Gobind Singh Indraprastha University,4th,Robotics,LinkedIn
LD164,Bengaluru,Christ University,4th,Cybersecurity,Whatsapp
LD165,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD166,Chennai,Loyola College,2nd,Environmental Science,LinkedIn
LD167,Delhi,Delhi Technological University (DTU),4th,Cybersecurity,Google Form
LD168,Ahmedabad,Gujarat University,2nd,Business Administration,College Collaboration
LD169,Ahmedabad,Gujarat University,3rd,Environmental Science,LinkedIn
LD170,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,LinkedIn
LD171,Jaipur,Rajasthan Technical University,2nd,Environmental Science,LinkedIn
LD172,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Cybersecurity,College Collaboration
LD173,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Biotechnology,Instagram
LD174,Ahmedabad,Nirma University,2nd,Biotechnology,Instagram
LD175,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,Mass-Mailing
LD176,Ahmedabad,Nirma University,3rd,Data Science,Instagram
LD177,Kolkata,Presidency University,3rd,Cybersecurity,LinkedIn
LD178,Hyderabad,Osmania University,2nd,Cybersecurity,Mass-Mailing
LD179,Jaipur,Rajasthan Technical University,3rd,Biotechnology,College Collaboration
LD180,Pune,Bharati Vidyapeeth Deemed University,3rd,Business Administration,Google Form
LD181,Mumbai,Mithibai College,3rd,Data Science,LinkedIn
LD182,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Electric Vehicles,LinkedIn
LD183,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,College Collaboration
LD184,Hyderabad,Osmania University,2nd,Business Administration,Google Form
LD185,Pune,Bharati Vidyapeeth Deemed University,2nd,Biotechnology,Google Form
LD186,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Cybersecurity,LinkedIn
LD187,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Data Science,Google Form
LD188,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Robotics,Instagram
LD189,Chennai,Anna University,2nd,Business Administration,Mass-Mailing
LD190,Kolkata,Indian Statistical Institute,1st,Cybersecurity,College Collaboration
LD191,Delhi,Delhi Technological University (DTU),2nd,Biotechnology,College Collaboration
LD192,Mumbai,Sardar Patel Institute of Technology,3rd,Business Administration,LinkedIn
LD193,Ahmedabad,Gujarat University,3rd,Data Science,Mass-Mailing
LD194,Hyderabad,Osmania University,3rd,Environmental Science,LinkedIn
LD195,Delhi,Delhi Technological University (DTU),2nd,Business Administration,College Collaboration
LD196,Ahmedabad,Gujarat University,4th,Environmental Science,Mass-Mailing
LD197,Ahmedabad,Nirma University,4th,Environmental Science,College Collaboration
LD198,Pune,University of Pune (Savitribai Phule Pune University),4th,Artificial Intelligence,Instagram
LD199,Pune,University of Pune (Savitribai Phule Pune University),3rd,Business Administration,College Collaboration
LD200,Kolkata,Jadavpur University,2nd,Cybersecurity,Google Form
LD201,Delhi,Delhi Technological University (DTU),4th,Cybersecurity,LinkedIn
LD202,Hyderabad,Indian School of Business (ISB),2nd,Artificial Intelligence,Google Form
LD203,Delhi,Lady Shri Ram College for Women,1st,Business Administration,LinkedIn
LD204,Delhi,Lady Shri Ram College for Women,4th,Environmental Science,Instagram
LD205,Ahmedabad,Nirma University,4th,Artificial Intelligence,Instagram
LD206,Chennai,Loyola College,2nd,Data Science,LinkedIn
LD207,Bengaluru,PES University,2nd,Artificial Intelligence,LinkedIn
LD208,Ahmedabad,Nirma University,2nd,Biotechnology,Instagram
LD209,Ahmedabad,Nirma University,1st,Electric Vehicles,College Collaboration
LD210,Ahmedabad,Gujarat University,3rd,Environmental Science,College Collaboration
LD211,Chennai,Madras Christian College,4th,Business Administration,LinkedIn
LD212,Bengaluru,Bangalore Institute of Technology,3rd,Data Science,Mass-Mailing
LD213,Bengaluru,Christ University,2nd,Environmental Science,LinkedIn
LD214,Chennai,Vellore Institute of Technology (VIT),4th,Electric Vehicles,College Collaboration
LD215,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Cybersecurity,Google Form
LD216,Delhi,University of Delhi,2nd,Electric Vehicles,College Collaboration
LD217,Chennai,Vellore Institute of Technology (VIT),4th,Cybersecurity,Google Form
LD218,Hyderabad,International Institute of Information Technology (IIIT-H),4th,Cybersecurity,Instagram
LD219,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Business Administration,Mass-Mailing
LD220,Jaipur,Rajasthan Technical University,1st,Environmental Science,Instagram
LD221,Bengaluru,RV College of Engineering,2nd,Environmental Science,Google Form
LD222,Ahmedabad,Gujarat University,2nd,Electric Vehicles,Whatsapp
LD223,Mumbai,Mithibai College,2nd,Robotics,LinkedIn
LD224,Ahmedabad,Nirma University,4th,Electric Vehicles,College Collaboration
LD225,Bengaluru,Bangalore Institute of Technology,3rd,Biotechnology,Instagram
LD226,Pune,University of Pune (Savitribai Phule Pune University),4th,Cybersecurity,College Collaboration
LD227,Ahmedabad,Nirma University,2nd,Robotics,Mass-Mailing
LD228,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Cybersecurity,LinkedIn
LD229,Kolkata,Indian Statistical Institute,3rd,Environmental Science,LinkedIn
LD230,Kolkata,University of Calcutta,3rd,Environmental Science,Google Form
LD231,Mumbai,University of Mumbai,4th,Cybersecurity,Google Form
LD232,Indore,Indian Institute of Management Indore (IIM-I),4th,Data Science,LinkedIn
LD233,Mumbai,Sardar Patel Institute of Technology,4th,Environmental Science,Instagram
LD234,Ahmedabad,Nirma University,3rd,Environmental Science,College Collaboration
LD235,Hyderabad,University of Hyderabad,4th,Artificial Intelligence,College Collaboration
LD236,Ahmedabad,Nirma University,2nd,Environmental Science,Mass-Mailing
LD237,Delhi,Lady Shri Ram College for Women,2nd,Biotechnology,College Collaboration
LD238,Bengaluru,PES University,3rd,Cybersecurity,Instagram
LD239,Ahmedabad,Gujarat University,3rd,Business Administration,LinkedIn
LD240,Indore,Devi Ahilya Vishwavidyalaya,3rd,Business Administration,College Collaboration
LD241,Kolkata,Indian Statistical Institute,3rd,Robotics,Whatsapp
LD242,Delhi,Jawaharlal Nehru University (JNU),3rd,Cybersecurity,LinkedIn
LD243,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Artificial Intelligence,Google Form
LD244,Ahmedabad,Nirma University,4th,Biotechnology,College Collaboration
LD245,Delhi,Jawaharlal Nehru University (JNU),1st,Data Science,Google Form
LD246,Pune,University of Pune (Savitribai Phule Pune University),2nd,Environmental Science,College Collaboration
LD247,Ahmedabad,Gujarat University,3rd,Business Administration,College Collaboration
LD248,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Artificial Intelligence,College Collaboration
LD249,Ahmedabad,Nirma University,1st,Robotics,LinkedIn
LD250,Hyderabad,University of Hyderabad,4th,Cybersecurity,LinkedIn
LD251,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Data Science,College Collaboration
LD252,Bengaluru,RV College of Engineering,3rd,Electric Vehicles,Instagram
LD253,Ahmedabad,Gujarat University,3rd,Environmental Science,Instagram
LD254,Hyderabad,University of Hyderabad,3rd,Robotics,LinkedIn
LD255,Indore,Devi Ahilya Vishwavidyalaya,2nd,Electric Vehicles,College Collaboration
LD256,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD257,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Robotics,Google Form
LD258,Chennai,SRM Institute of Science and Technology,3rd,Robotics,LinkedIn
LD259,Delhi,University of Delhi,2nd,Data Science,College Collaboration
LD260,Pune,MIT World Peace University,2nd,Cybersecurity,Whatsapp
LD261,Delhi,Jamia Millia Islamia,3rd,Data Science,Instagram
LD262,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Robotics,Whatsapp
LD263,Bengaluru,RV College of Engineering,3rd,Data Science,Mass-Mailing
LD264,Delhi,Delhi Technological University (DTU),2nd,Environmental Science,College Collaboration
LD265,Bengaluru,Christ University,4th,Data Science,College Collaboration
LD266,Delhi,Lady Shri Ram College for Women,1st,Business Administration,LinkedIn
LD267,Kolkata,Jadavpur University,4th,Artificial Intelligence,College Collaboration
LD268,Chennai,Loyola College,2nd,Data Science,Mass-Mailing
LD269,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Data Science,Mass-Mailing
LD270,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Data Science,LinkedIn
LD271,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Artificial Intelligence,Mass-Mailing
LD272,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Cybersecurity,Instagram
LD273,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,Whatsapp
LD274,Delhi,University of Delhi,3rd,Artificial Intelligence,College Collaboration
LD275,Pune,Symbiosis International University,4th,Environmental Science,LinkedIn
LD276,Hyderabad,Osmania University,2nd,Cybersecurity,Google Form
LD277,Mumbai,St. Xavier's College,4th,Electric Vehicles,LinkedIn
LD278,Hyderabad,Osmania University,1st,Cybersecurity,LinkedIn
LD279,Pune,Bharati Vidyapeeth Deemed University,2nd,Cybersecurity,Mass-Mailing
LD280,Bengaluru,PES University,3rd,Artificial Intelligence,Instagram
LD281,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,College Collaboration
LD282,Bengaluru,Bangalore Institute of Technology,2nd,Robotics,Google Form
LD283,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD284,Chennai,Anna University,4th,Robotics,LinkedIn
LD285,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Environmental Science,Google Form
LD286,Pune,MIT World Peace University,3rd,Data Science,LinkedIn
LD287,Jaipur,Rajasthan Technical University,4th,Environmental Science,LinkedIn
LD288,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,LinkedIn
LD289,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Cybersecurity,College Collaboration
LD290,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Environmental Science,Instagram
LD291,Delhi,Jamia Millia Islamia,4th,Electric Vehicles,College Collaboration
LD292,Mumbai,St. Xavier's College,1st,Biotechnology,Whatsapp
LD293,Pune,MIT World Peace University,4th,Electric Vehicles,College Collaboration
LD294,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Artificial Intelligence,Google Form
LD295,Ahmedabad,Nirma University,2nd,Biotechnology,College Collaboration
LD296,Mumbai,Sardar Patel Institute of Technology,2nd,Environmental Science,College Collaboration
LD297,Ahmedabad,Gujarat University,3rd,Environmental Science,College Collaboration
LD298,Ahmedabad,Nirma University,4th,Environmental Science,College Collaboration
LD299,Ahmedabad,Gujarat University,4th,Cybersecurity,LinkedIn
LD300,Ahmedabad,Nirma University,2nd,Cybersecurity,Instagram
LD301,Chennai,SRM Institute of Science and Technology,3rd,Electric Vehicles,LinkedIn
LD302,Delhi,University of Delhi,1st,Environmental Science,LinkedIn
LD303,Mumbai,Sardar Patel Institute of Technology,3rd,Environmental Science,Whatsapp
LD304,Ahmedabad,Gujarat University,3rd,Environmental Science,LinkedIn
LD305,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Cybersecurity,LinkedIn
LD306,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Business Administration,Google Form
LD307,Bengaluru,Bangalore Institute of Technology,3rd,Electric Vehicles,Instagram
LD308,Ahmedabad,Nirma University,3rd,Business Administration,LinkedIn
LD309,Bengaluru,Christ University,3rd,Cybersecurity,LinkedIn
LD310,Bengaluru,RV College of Engineering,3rd,Artificial Intelligence,College Collaboration
LD311,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Cybersecurity,LinkedIn
LD312,Jaipur,Rajasthan Technical University,1st,Artificial Intelligence,Instagram
LD313,Bengaluru,Christ University,3rd,Environmental Science,Mass-Mailing
LD314,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Cybersecurity,Google Form
LD315,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Environmental Science,College Collaboration
LD316,Mumbai,K. J. Somaiya College of Engineering,4th,Biotechnology,Whatsapp
LD317,Pune,Bharati Vidyapeeth Deemed University,1st,Data Science,LinkedIn
LD318,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,LinkedIn
LD319,Ahmedabad,Gujarat University,2nd,Business Administration,Instagram
LD320,Indore,Indian Institute of Management Indore (IIM-I),3rd,Biotechnology,LinkedIn
LD321,Mumbai,University of Mumbai,3rd,Business Administration,Instagram
LD322,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,Instagram
LD323,Pune,University of Pune (Savitribai Phule Pune University),1st,Biotechnology,Mass-Mailing
LD324,Ahmedabad,Gujarat University,2nd,Cybersecurity,Mass-Mailing
LD325,Pune,Bharati Vidyapeeth Deemed University,3rd,Data Science,LinkedIn
LD326,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Electric Vehicles,Google Form
LD327,Ahmedabad,Gujarat University,4th,Data Science,Instagram
LD328,Chennai,Indian Institute of Technology Madras (IIT-M),4th,Data Science,Instagram
LD329,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Artificial Intelligence,Google Form
LD330,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD331,Jaipur,Malaviya National Institute of Technology (MNIT),1st,Artificial Intelligence,Google Form
LD332,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Electric Vehicles,Whatsapp
LD333,Bengaluru,Christ University,1st,Environmental Science,Google Form
LD334,Ahmedabad,Gujarat University,3rd,Data Science,Google Form
LD335,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Artificial Intelligence,LinkedIn
LD336,Bengaluru,RV College of Engineering,3rd,Cybersecurity,LinkedIn
LD337,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Data Science,Mass-Mailing
LD338,Chennai,Vellore Institute of Technology (VIT),2nd,Cybersecurity,College Collaboration
LD339,Mumbai,Mithibai College,4th,Artificial Intelligence,College Collaboration
